site_id,site_name,state,latitude,longitude,sample_date,characteristic,result_value,unit
USGS-04208000,,,,,2018-07-23,Diazepam-D5,93.8,%
USGS-413510081340100,,,,,2018-06-27,Escherichia coli,58.0,MPN/100 ml
USGS-413510081340100,,,,,2018-06-27,Turbidity,3.9,NTRU
USGS-413510081340100,,,,,2018-06-27,Wave height,0.4,ft
USGS-412922081442303,,,,,2018-09-02,"Temperature, water",24.3,deg C
USGS-412922081442303,,,,,2018-09-02,Escherichia coli,41.0,MPN/100 ml
USGS-412922081442303,,,,,2018-09-02,Turbidity,3.7,NTRU
USGS-412922081442303,,,,,2018-09-02,Wave height,0.3,ft
USGS-412922081442303,,,,,2018-08-13,Escherichia coli,18.0,MPN/100 ml
USGS-412922081442303,,,,,2018-08-13,Turbidity,5.0,NTRU
USGS-412922081442303,,,,,2018-08-13,Wave height,0.2,ft
USGS-413510081340100,,,,,2018-07-01,Escherichia coli,10.0,MPN/100 ml
USGS-413510081340100,,,,,2018-07-01,Turbidity,2.5,NTRU
USGS-413510081340100,,,,,2018-07-01,Wave height,0.1,ft
USGS-412922081442303,,,,,2018-08-31,"Temperature, water",22.9,deg C
USGS-412922081442303,,,,,2018-08-31,Escherichia coli,870.0,MPN/100 ml
USGS-412922081442303,,,,,2018-08-31,Turbidity,4.4,NTRU
USGS-412922081442303,,,,,2018-08-31,Wave height,0.2,ft
USGS-412928081560220,,,,,2018-05-22,Turbidity,37.0,NTRU
USGS-412928081560220,,,,,2018-05-22,"Temperature, water",18.0,deg C
USGS-412928081560220,,,,,2018-05-22,Escherichia coli,430.0,MPN/100 ml
USGS-412928081560220,,,,,2018-05-22,Wave height,0.2,ft
USGS-412928081560220,,,,,2018-06-05,"Temperature, water",18.7,deg C
USGS-412928081560220,,,,,2018-06-05,Escherichia coli,43.0,MPN/100 ml
USGS-412928081560220,,,,,2018-06-05,Turbidity,27.0,NTRU
USGS-412928081560220,,,,,2018-06-05,Wave height,1.5,ft
USGS-412928081560220,,,,,2018-05-27,"Temperature, water",20.4,deg C
USGS-412928081560220,,,,,2018-05-27,Escherichia coli,26.0,MPN/100 ml
USGS-412928081560220,,,,,2018-05-27,Turbidity,3.6,NTRU
USGS-412928081560220,,,,,2018-05-27,Wave height,0.1,ft
USGS-412928081560220,,,,,2018-08-22,"Temperature, water",22.0,deg C
USGS-412928081560220,,,,,2018-08-22,Escherichia coli,140.0,MPN/100 ml
USGS-412928081560220,,,,,2018-08-22,Turbidity,36.0,NTRU
USGS-412928081560220,,,,,2018-08-22,Wave height,2.2,ft
USGS-413510081340100,,,,,2018-06-06,Escherichia coli,130.0,MPN/100 ml
USGS-413510081340100,,,,,2018-06-06,Turbidity,16.0,NTRU
USGS-413510081340100,,,,,2018-06-06,Wave height,0.8,ft
USGS-413510081340100,,,,,2018-06-16,Escherichia coli,93.0,MPN/100 ml
USGS-413510081340100,,,,,2018-06-16,Turbidity,1.9,NTRU
USGS-413510081340100,,,,,2018-06-16,Wave height,0.0,ft
USGS-412922081442303,,,,,2018-06-12,"Temperature, water",19.1,deg C
USGS-412922081442303,,,,,2018-06-12,Escherichia coli,5.0,MPN/100 ml
USGS-412922081442303,,,,,2018-06-12,Turbidity,15.0,NTRU
USGS-412922081442303,,,,,2018-06-12,Wave height,0.1,ft
USGS-413510081340100,,,,,2018-09-12,"Temperature, water",22.6,deg C
USGS-413510081340100,,,,,2018-09-12,Escherichia coli,160.0,MPN/100 ml
USGS-413510081340100,,,,,2018-09-12,Turbidity,7.7,NTRU
USGS-413510081340100,,,,,2018-09-12,Wave height,0.0,ft
USGS-412928081560220,,,,,2018-07-26,"Temperature, water",22.6,deg C
USGS-412928081560220,,,,,2018-07-26,Escherichia coli,23.0,MPN/100 ml
USGS-412928081560220,,,,,2018-07-26,Turbidity,5.7,NTRU
USGS-412928081560220,,,,,2018-07-26,Wave height,0.2,ft
USGS-412928081560220,,,,,2018-06-29,Wave height,0.1,ft
USGS-412928081560220,,,,,2018-06-29,"Temperature, water",21.9,deg C
USGS-412928081560220,,,,,2018-06-29,Escherichia coli,18.0,MPN/100 ml
USGS-412928081560220,,,,,2018-06-29,Turbidity,8.3,NTRU
USGS-412928081560220,,,,,2018-05-21,"Temperature, water",17.3,deg C
USGS-412928081560220,,,,,2018-05-21,Escherichia coli,710.0,MPN/100 ml
USGS-412928081560220,,,,,2018-05-21,Turbidity,29.0,NTRU
USGS-412928081560220,,,,,2018-05-21,Wave height,0.3,ft
USGS-413510081340100,,,,,2018-05-21,Escherichia coli,2400.0,MPN/100 ml
USGS-413510081340100,,,,,2018-05-21,Turbidity,11.0,NTRU
USGS-413510081340100,,,,,2018-05-21,Wave height,0.2,ft
USGS-412928081560220,,,,,2018-05-31,Wave height,0.3,ft
USGS-412928081560220,,,,,2018-05-31,"Temperature, water",23.5,deg C
USGS-412928081560220,,,,,2018-05-31,Escherichia coli,10.0,MPN/100 ml
USGS-412928081560220,,,,,2018-05-31,Turbidity,11.0,NTRU
USGS-412922081442303,,,,,2018-06-07,"Temperature, water",17.2,deg C
USGS-412922081442303,,,,,2018-06-07,Escherichia coli,10.0,MPN/100 ml
USGS-412922081442303,,,,,2018-06-07,Turbidity,7.8,NTRU
USGS-412922081442303,,,,,2018-06-07,Wave height,0.1,ft
USGS-412928081560220,,,,,2018-06-20,"Temperature, water",22.4,deg C
USGS-412928081560220,,,,,2018-06-20,Escherichia coli,880.0,MPN/100 ml
USGS-412928081560220,,,,,2018-06-20,Turbidity,29.0,NTRU
USGS-412928081560220,,,,,2018-06-20,Wave height,0.5,ft
USGS-412922081442303,,,,,2018-07-15,"Temperature, water",25.6,deg C
USGS-412922081442303,,,,,2018-07-15,Escherichia coli,200.0,MPN/100 ml
USGS-412922081442303,,,,,2018-07-15,Turbidity,4.3,NTRU
USGS-412922081442303,,,,,2018-07-15,Wave height,0.0,ft
USGS-413510081340100,,,,,2018-07-06,"Temperature, water",23.7,deg C
USGS-413510081340100,,,,,2018-07-06,Escherichia coli,7900.0,MPN/100 ml
USGS-413510081340100,,,,,2018-07-06,Turbidity,94.0,NTRU
USGS-413510081340100,,,,,2018-07-06,Wave height,2.0,ft
USGS-413510081340100,,,,,2018-08-20,Escherichia coli,10.0,MPN/100 ml
USGS-413510081340100,,,,,2018-08-20,Turbidity,2.5,NTRU
USGS-413510081340100,,,,,2018-08-20,Wave height,0.1,ft
USGS-412928081560220,,,,,2018-07-22,"Temperature, water",19.7,deg C
USGS-412928081560220,,,,,2018-07-22,Escherichia coli,380.0,MPN/100 ml
USGS-412928081560220,,,,,2018-07-22,Turbidity,20.0,NTRU
USGS-412928081560220,,,,,2018-07-22,Wave height,1.0,ft
USGS-412922081442303,,,,,2018-06-23,"Temperature, water",20.8,deg C
USGS-412922081442303,,,,,2018-06-23,Escherichia coli,17.0,MPN/100 ml
USGS-412922081442303,,,,,2018-06-23,Turbidity,29.0,NTRU
USGS-412922081442303,,,,,2018-06-23,Wave height,0.0,ft
USGS-413510081340100,,,,,2018-08-06,Escherichia coli,900.0,MPN/100 ml
USGS-413510081340100,,,,,2018-08-06,Turbidity,2.9,NTRU
USGS-413510081340100,,,,,2018-08-06,Wave height,0.6,ft
USGS-412922081442303,,,,,2018-09-12,"Temperature, water",20.7,deg C
USGS-412922081442303,,,,,2018-09-12,Escherichia coli,9.0,MPN/100 ml
USGS-412922081442303,,,,,2018-09-12,Turbidity,6.9,NTRU
USGS-412922081442303,,,,,2018-09-12,Wave height,0.1,ft
USGS-412922081442303,,,,,2018-08-28,"Temperature, water",24.6,deg C
USGS-412922081442303,,,,,2018-08-28,Escherichia coli,18.0,MPN/100 ml
USGS-412922081442303,,,,,2018-08-28,Turbidity,2.5,NTRU
USGS-412922081442303,,,,,2018-08-28,Wave height,0.2,ft
USGS-413510081340100,,,,,2018-07-11,Escherichia coli,110.0,MPN/100 ml
USGS-413510081340100,,,,,2018-07-11,Turbidity,18.0,NTRU
USGS-413510081340100,,,,,2018-07-11,Wave height,0.8,ft
USGS-412928081560220,,,,,2018-08-13,Escherichia coli,190.0,MPN/100 ml
USGS-412928081560220,,,,,2018-08-13,Turbidity,13.0,NTRU
USGS-412928081560220,,,,,2018-08-13,Wave height,1.0,ft
USGS-412922081442303,,,,,2018-06-30,"Temperature, water",24.3,deg C
USGS-412922081442303,,,,,2018-06-30,Escherichia coli,4.0,MPN/100 ml
USGS-412922081442303,,,,,2018-06-30,Turbidity,5.8,NTRU
USGS-412922081442303,,,,,2018-06-30,Wave height,0.1,ft
USGS-413510081340100,,,,,2018-08-01,"Temperature, water",23.8,deg C
